block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,meetnewfriends,girl1,girl2,circleblack,none,center,1,,black-background,intro
1,1,hi_oliva,girl1outline,girl2gray,circleblack,red,left,0,,black-background,intro
1,2,hi_emily,girl1gray,girl2outline,circleblack,blue,right,2,,black-background,intro
1,3,1_it.that_ball,girl1outline,girl2gray,ball_circle,ball_red,left,0,,black-background,familiar
1,4,2_it.see_ball,girl1gray,girl2outline,ball_circle,ball_blue,right,2,,black-background,familiar
1,5,1_see.that_shoe,girl1outline,girl2gray,shoe_circle,shoe_red,left,0,,black-background,familiar
1,6,2_that.it_shoe,girl1gray,girl2outline,shoe_circle,shoe_blue,right,2,,black-background,familiar
,,,,,,,,,,,
2,7,find_shoe,shoesquare,ballsquare,black,shoe,left,0,,black-background,familiar_test
2,8,where_ball,ballsquare,shoesquare,black,ball,left,0,,black-background,familiar_test
2,9,greatjob,Lfireworksquare,Rfireworksquare,black,AG,center,1,,black-background,filler
,,,,,,,,,,,
3,10,1_that.see_tanzer,girl1outline,girl2gray,nov1_circle,tanzer_red,left,0,,black-background,expertise
3,11,2_don'tknow,girl1gray,girl2outline,nov1_circle,none_blue,right,2,,black-background,expertise
3,12,1_see.it_cheem,girl1outline,girl2gray,nov2_circle,cheem_red,left,0,,black-background,expertise
3,13,2_notsure,girl1gray,girl2outline,nov2_circle,none_blue,right,2,,black-background,expertise
3,14,1_it.that_akar,girl1outline,girl2gray,nov3_circle,akar_red,left,0,,black-background,expertise
3,15,2_don'tknow,girl1gray,girl2outline,nov3_circle,none_blue,right ,2,,black-background,expertise
3,16,2_that.it_bosa,girl1gray,girl2outline,nov4_circle,bosa_blue,right,2,,black-background,expertise
3,17,1_notsure,girl1outline,girl2gray,nov4_circle,none_red,left,0,,black-background,expertise
3,18,2_see.that_noop,girl1gray,girl2outline,nov5_circle,noop_blue,right,2,,black-background,expertise
3,19,1_don'tknow,girl1outline,girl2gray,nov5_circle,none_red,left,0,,black-background,expertise
3,20,2_it.see_wiso,girl1gray,girl2outline,nov6_circle,wiso_blue,right,2,,black-background,expertise
3,21,1_notsure,girl1outline,girl2gray,nov6_circle,none_red,left,0,,black-background,expertise
3,22,nicework,Lfishsquare,Rfishsquare,black,AG,center,1,,black-background,filler
,,,,,,,,,,,
4,23,1_see.it_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,teaching
4,24,2_that.see_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,teaching
4,25,1_it.see_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,teaching
4,26,2_it.that_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,teaching
4,27,1_that.it_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,teaching
4,28,2_see.that_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,teaching
4,29,1_that.see_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,teaching
4,30,2_see.it_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,teaching
4,31,1_see.it_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,teaching
4,32,2_that.see_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,teaching
4,33,1_it.see_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,teaching
4,34,2_it.that_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,teaching
4,35,1_that.it_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,teaching
4,36,2_see.that_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,teaching
4,37,1_that.see_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,teaching
4,38,2_see.it_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,teaching
,,,,,,,,,,,
,,,,,,,,,,,
5,31,find_dax,nov9_square,nov7_square,black,dax_red,right,2,,black-background,test
5,32,where_roke,nov7_square,nov10_square,black,bosa_blue,left,0,,black-background,test
5,33,where_smope,nov8_square,nov9_square,black,smope_red,left,0,,black-background,test
5,34,find_posk,nov10_square,nov8_square,black,posk_blue,right,2,,black-background,test
5,35,find_gasser,nov9_square,nov7_square,black,gasser_red,left,0,,black-background,test
5,36,where_teebu,nov8_square,nov9_square,black,teebu_blue,right,2,,black-background,test
5,37,where_fisp,nov7_square,nov10_square,black,fisp_red,right,2,,black-background,test
5,38,find_vab,nov10_square,nov8_square,black,vab_blue,left,0,,black-background,test
5,39,amazingwork,Lbunnysquare,Rbunnysquare,black,AG,center,1,,black-background,filler
,,,,,,,,,,,
6,40,whoknowsaboutthis,girl1,girl2,nov11_circle,redspeaker,left,0,,black-background,question
6,41,whoknowsaboutthis,girl1,girl2,nov12_circle,bluespeaker,right,2,,black-background,question
6,42,whoknows_redtoys,girl1,girl2,black,redspeaker,right,0,,black-background,question
6,43,whoknows_bluetoys,girl1,girl2,black,bluespeaker,left,2,,black-background,question
6,44,awesome_alldone,Lbeachsquare,Rbeachsquare,black,AG,center,1,,black-background,filler
