block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,filler_meetnewfriends,girl1,girl2,black,none,center,1,,black-background,FAM
1,1,filler_hi_olivia,girl1outline,girl2gray,black,red,left,0,,black-background,intro
1,2,filler_hi_emily,girl1gray,girl2outline,black,blue,right,2,,black-background,intro
2,3,filler_1_lookatme,girl1outline,girl2gray,black,red,left,0,,black-background,FAM_LWL
2,4,filler_1_lookatme,girl1gray,girl2outline,black,blue,right,2,,black-background,FAM_LWL
3,5,filler_1_it.that_ball,girl1outline,girl2gray,ball_circle,ball_red,left,0,,black-background,FAM
3,6,filler_2_it.see_ball,girl1gray,girl2outline,ball_circle,ball_blue,right,2,,black-background,FAM
4,7,filler_where_ball,ball_square,shoe_square,black,ball,left,0,,black-background,FAM_LWL
5,9,filler_1_that.see_tanzer,girl1outline,girl2gray,nov1_circle,tanzer_red,left,0,,black-background,Teaching
5,10,filler_2_dontknow,girl1gray,girl2outline,nov1_circle,none_blue,right,2,,black-background,Teaching
5,11,filler_2_that.it_bosa,girl1gray,girl2outline,nov4_circle,bosa_blue,right,2,,black-background,Teaching
5,12,filler_1_notsure,girl1outline,girl2gray,nov4_circle,none_red,left,0,,black-background,Teaching
6,13,filler_1_see.it_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
6,14,filler_2_that.see_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
7,15,filler_find_dax,nov9_square,nov7_square,black,dax_red,right,2,,black-background,ImmTest
7,16,filler_where_roke,nov7_square,nov10_square,black,roke_blue,left,0,,black-background,ImmTest
8,17,filler_whoknowsaboutthis,girl1,girl2,nov11_circle,redspeaker,right,2,,black-background,ImmTest
8,18,filler_whoknowsaboutthis,girl1,girl2,nov12_circle,bluespeaker,left,0,,black-background,ImmTest
8,19,filler_whoknows_redtoys,girl1,girl2,black,redspeaker,right,0,,black-background,ImmTest
8,20,filler_whoknows_bluetoys,girl1,girl2,black,bluespeaker,left,2,,black-background,ImmTest
8,21,filler_awesome_alldone,LbeachBlack,RbeachBlack,black,AG,center,1,,black-background,filler
